Gage, Year, Month, Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,2005,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2005,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2005,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2005,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2005,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2005,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2005,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2006,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2006,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2006,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2006,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2006,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2006,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2006,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2006,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2006,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2006,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2006,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2006,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2007,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2007,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2007,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2007,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2007,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2007,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2007,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2007,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2007,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2007,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2007,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2007,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2008,    10,  0.72,  1.06,  0.35,  0.95,    31,0.8315
H1,2008,    11,  0.03,  0.01,  0.00,  0.01,    30,0.10718
H1,2008,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2008,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2008,     2,  0.19,  0.35,  0.00,  0.00,    29,
H1,2008,     3, 75.58, 64.26,  0.00,  0.00,    31,
H1,2008,     4,1164.12,1186.43,762.79,761.89,    30,0.72783
H1,2008,     5,1022.96,1101.38,700.84,628.36,    31,0.6996
H1,2008,     6,437.71,264.54,364.17,152.58,    30,0.8894
H1,2008,     7,183.02, 68.75,136.48, 46.09,    31,0.74719
H1,2008,     8, 63.20, 26.82, 49.06, 16.58,    31,0.98283
H1,2008,     9, 22.70, 11.52, 26.19, 16.29,    30,0.6964
H1,2009,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2009,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2009,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2009,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2009,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2009,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2009,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2009,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2009,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2009,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2009,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2009,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2010,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2010,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2010,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2010,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2010,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2010,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2010,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2010,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2010,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2010,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2010,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2010,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2011,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2011,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2011,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2011,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2011,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2011,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2011,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2011,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2011,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2011,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2011,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2011,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2012,    10,  0.72,  1.06,  0.35,  0.95,    31,0.8315
H1,2012,    11,  0.03,  0.01,  0.00,  0.01,    30,0.10718
H1,2012,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2012,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2012,     2,  0.19,  0.35,  0.00,  0.00,    29,
H1,2012,     3, 75.58, 64.26,  0.00,  0.00,    31,
H1,2012,     4,1164.12,1186.43,762.79,761.89,    30,0.72783
H1,2012,     5,1022.96,1101.38,700.84,628.36,    31,0.6996
H1,2012,     6,437.71,264.54,364.17,152.58,    30,0.8894
H1,2012,     7,183.02, 68.75,136.48, 46.09,    31,0.74719
H1,2012,     8, 63.20, 26.82, 49.06, 16.58,    31,0.98283
H1,2012,     9, 22.70, 11.52, 26.19, 16.29,    30,0.6964
H1,2013,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2013,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2013,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2013,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2013,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2013,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2013,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2013,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2013,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2013,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2013,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2013,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2014,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2014,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2014,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2014,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2014,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2014,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2014,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2014,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2014,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2014,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2014,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2014,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2015,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2015,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2015,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2015,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2015,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2015,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2015,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2015,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2015,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
ALP,1995,     1,590.97,677.21,587.92,564.37,    26,0.052712
ALP,1995,     3,466.67,682.66,615.55,784.80,    31,0.35284
ALP,1995,     4,155.30, 26.80,175.04, 54.70,    26,0.96176
ALP,1996,     1,590.97,677.21,587.92,564.37,    26,0.052712
ALP,1996,     2,111.95, 30.05,121.50, 42.17,     6,0.33118
ALP,1996,     3,483.37,674.44,641.74,769.38,    31,0.333
ALP,1996,     4,142.42, 10.72,150.50, 31.63,    20,0.8745
ALP,1997,     1,590.97,677.21,587.92,564.37,    26,0.052712
ALP,1997,     2, 99.71,  2.03,115.40, 44.08,     5,-0.39893
ALP,1997,     3,483.27,674.49,639.42,770.79,    31,0.33388
ALP,1997,     4,144.03, 12.80,154.00, 34.75,    21,0.89985
ALP,1998,     1,590.97,677.21,587.92,564.37,    26,0.052712
ALP,1998,     2, 99.71,  2.03,115.40, 44.08,     5,-0.39893
ALP,1998,     3,483.27,674.49,639.42,770.79,    31,0.33388
ALP,1998,     4,144.03, 12.80,154.00, 34.75,    21,0.89985
Los_Padres_Res,2001,    10,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2001,    11, 18.77, 39.86,  8.78,  2.19,    30,0.45324
Los_Padres_Res,2001,    12, 81.83, 53.38,101.00, 83.58,    31,0.2616
Los_Padres_Res,2002,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2002,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2002,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2002,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2002,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2002,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2002,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2002,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2002,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2002,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2002,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2002,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2003,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2003,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2003,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2003,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2003,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2003,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2003,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2003,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2003,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2003,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2003,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2003,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2004,    10,  4.99,  0.00, 10.03,  1.48,    31,-3.4705e-15
Los_Padres_Res,2004,    11,  4.03,  0.18,  7.28,  0.32,    30,0.3682
Los_Padres_Res,2004,    12,  4.00,  0.00,  6.68,  0.13,    31,2.2536e-14
Los_Padres_Res,2004,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2004,     2, 17.59, 40.03,  8.57,  1.88,    29,0.43928
Los_Padres_Res,2004,     3, 79.86, 53.27, 95.13, 83.00,    31,0.25643
Los_Padres_Res,2004,     4, 92.43, 34.58, 96.50, 63.69,    30,0.96579
Los_Padres_Res,2004,     5, 71.32, 24.89, 45.06,  8.80,    31,0.17607
Los_Padres_Res,2004,     6, 57.59,  9.62, 55.07, 18.07,    30,0.047926
Los_Padres_Res,2004,     7, 30.42,  7.26, 38.68,  8.51,    31,0.9774
Los_Padres_Res,2004,     8, 18.17,  6.24, 22.65,  3.79,    31,0.56072
Los_Padres_Res,2004,     9,  5.89,  1.35, 14.67,  1.21,    30,0.86394
Los_Padres_Res,2005,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2005,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2005,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2005,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2005,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2005,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2005,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2005,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2005,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2005,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2005,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2005,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2006,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2006,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2006,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2006,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2006,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2006,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2006,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2006,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2006,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2006,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2006,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2006,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2007,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2007,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2007,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2007,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2007,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2007,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2007,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2007,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2007,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2007,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2007,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2007,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2008,    10,  4.99,  0.00, 10.03,  1.48,    31,-3.4705e-15
Los_Padres_Res,2008,    11,  4.03,  0.18,  7.28,  0.32,    30,0.3682
Los_Padres_Res,2008,    12,  4.00,  0.00,  6.68,  0.13,    31,2.2536e-14
Los_Padres_Res,2008,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2008,     2, 17.59, 40.03,  8.57,  1.88,    29,0.43928
Los_Padres_Res,2008,     3, 79.86, 53.27, 95.13, 83.00,    31,0.25643
Los_Padres_Res,2008,     4, 92.43, 34.58, 96.50, 63.69,    30,0.96579
Los_Padres_Res,2008,     5, 71.32, 24.89, 45.06,  8.80,    31,0.17607
Los_Padres_Res,2008,     6, 57.59,  9.62, 55.07, 18.07,    30,0.047926
Los_Padres_Res,2008,     7, 30.42,  7.26, 38.68,  8.51,    31,0.9774
