Gage, Year, Month, Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,1998,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,1998,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,1998,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,1998,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,1998,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,1998,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,1999,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,1999,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,1999,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1999,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1999,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,1999,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,1999,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,1999,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,1999,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,1999,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,1999,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,1999,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2000,    10,  0.05,  0.03,  0.35,  0.95,    31,0.77192
H1,2000,    11,  0.01,  0.00,  0.00,  0.01,    30,0.013578
H1,2000,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2000,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2000,     2,  0.01,  0.03,  0.00,  0.00,    29,
H1,2000,     3, 42.94, 47.79,  0.00,  0.00,    31,
H1,2000,     4,997.15,1213.78,762.79,761.89,    30,0.70615
H1,2000,     5,977.46,1070.62,700.84,628.36,    31,0.67121
H1,2000,     6,478.80,254.72,364.17,152.58,    30,0.8789
H1,2000,     7,179.64, 86.99,136.48, 46.09,    31,0.79096
H1,2000,     8, 41.61, 18.92, 49.06, 16.58,    31,0.98136
H1,2000,     9, 19.51, 14.08, 26.19, 16.29,    30,0.71956
H1,2001,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2001,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2001,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2001,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2001,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2001,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2001,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2001,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2001,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2001,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2001,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2001,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2002,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2002,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2002,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2002,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2002,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2002,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2002,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2002,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2002,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2002,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2002,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2002,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2003,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2003,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2003,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2003,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2003,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2003,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2003,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2003,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2003,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2003,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2003,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2003,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2004,    10,  0.05,  0.03,  0.35,  0.95,    31,0.77192
H1,2004,    11,  0.01,  0.00,  0.00,  0.01,    30,0.013578
H1,2004,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2004,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2004,     2,  0.01,  0.03,  0.00,  0.00,    29,
H1,2004,     3, 42.94, 47.79,  0.00,  0.00,    31,
H1,2004,     4,997.15,1213.78,762.79,761.89,    30,0.70615
H1,2004,     5,977.46,1070.62,700.84,628.36,    31,0.67121
H1,2004,     6,478.80,254.72,364.17,152.58,    30,0.8789
H1,2004,     7,179.64, 86.99,136.48, 46.09,    31,0.79096
H1,2004,     8, 41.61, 18.92, 49.06, 16.58,    31,0.98136
H1,2004,     9, 19.51, 14.08, 26.19, 16.29,    30,0.71956
H1,2005,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2005,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2005,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2005,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2005,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2005,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2005,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2005,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2005,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2005,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2005,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2005,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2006,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2006,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2006,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2006,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2006,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2006,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2006,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2006,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2006,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2006,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2006,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2006,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2007,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2007,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2007,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2007,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2007,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2007,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2007,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2007,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2007,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2007,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2007,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2007,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2008,    10,  0.05,  0.03,  0.35,  0.95,    31,0.77192
H1,2008,    11,  0.01,  0.00,  0.00,  0.01,    30,0.013578
H1,2008,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2008,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2008,     2,  0.01,  0.03,  0.00,  0.00,    29,
H1,2008,     3, 42.94, 47.79,  0.00,  0.00,    31,
H1,2008,     4,997.15,1213.78,762.79,761.89,    30,0.70615
H1,2008,     5,977.46,1070.62,700.84,628.36,    31,0.67121
H1,2008,     6,478.80,254.72,364.17,152.58,    30,0.8789
H1,2008,     7,179.64, 86.99,136.48, 46.09,    31,0.79096
H1,2008,     8, 41.61, 18.92, 49.06, 16.58,    31,0.98136
H1,2008,     9, 19.51, 14.08, 26.19, 16.29,    30,0.71956
H1,2009,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2009,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2009,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2009,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2009,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2009,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2009,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2009,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2009,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2009,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2009,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2009,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2010,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2010,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2010,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2010,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2010,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2010,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2010,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2010,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2010,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2010,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2010,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2010,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2011,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2011,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2011,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2011,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2011,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2011,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2011,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2011,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2011,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2011,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2011,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2011,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2012,    10,  0.05,  0.03,  0.35,  0.95,    31,0.77192
H1,2012,    11,  0.01,  0.00,  0.00,  0.01,    30,0.013578
H1,2012,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2012,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2012,     2,  0.01,  0.03,  0.00,  0.00,    29,
H1,2012,     3, 42.94, 47.79,  0.00,  0.00,    31,
H1,2012,     4,997.15,1213.78,762.79,761.89,    30,0.70615
H1,2012,     5,977.46,1070.62,700.84,628.36,    31,0.67121
H1,2012,     6,478.80,254.72,364.17,152.58,    30,0.8789
H1,2012,     7,179.64, 86.99,136.48, 46.09,    31,0.79096
H1,2012,     8, 41.61, 18.92, 49.06, 16.58,    31,0.98136
H1,2012,     9, 19.51, 14.08, 26.19, 16.29,    30,0.71956
H1,2013,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2013,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2013,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2013,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2013,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2013,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2013,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2013,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2013,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2013,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2013,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2013,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2014,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,2014,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,2014,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,2014,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2014,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2014,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2014,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2014,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2014,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2014,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2014,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2014,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,2015,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,2015,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,2015,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,2015,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,2015,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,2015,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,2015,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,2015,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,2015,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
ALP,1995,     1,608.93,710.48,587.92,564.37,    26,0.094518
ALP,1995,     3,463.54,682.10,615.55,784.80,    31,0.35121
ALP,1995,     4,154.26, 27.23,175.04, 54.70,    26,0.95296
ALP,1996,     1,608.93,710.48,587.92,564.37,    26,0.094518
ALP,1996,     2,113.77, 39.89,121.50, 42.17,     6,0.34419
ALP,1996,     3,479.74,674.12,641.74,769.38,    31,0.33173
ALP,1996,     4,141.31, 13.16,150.50, 31.63,    20,0.80651
ALP,1997,     1,608.93,710.48,587.92,564.37,    26,0.094518
ALP,1997,     2, 97.51,  1.88,115.40, 44.08,     5,-0.2503
ALP,1997,     3,480.23,673.90,639.42,770.79,    31,0.33215
ALP,1997,     4,143.15, 15.35,154.00, 34.75,    21,0.85138
ALP,1998,     1,608.93,710.48,587.92,564.37,    26,0.094518
ALP,1998,     2, 97.51,  1.88,115.40, 44.08,     5,-0.2503
ALP,1998,     3,480.23,673.90,639.42,770.79,    31,0.33215
ALP,1998,     4,143.15, 15.35,154.00, 34.75,    21,0.85138
Los_Padres_Res,2001,    10,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2001,    11,  8.00,  0.00,  8.78,  2.19,    30,3.8463e-16
Los_Padres_Res,2001,    12, 83.91, 49.79,101.00, 83.58,    31,0.24812
Los_Padres_Res,2002,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2002,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2002,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2002,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2002,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2002,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2002,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2002,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2002,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2002,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2002,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2002,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2003,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2003,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2003,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2003,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2003,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2003,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2003,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2003,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2003,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2003,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2003,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2003,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2004,    10,  7.00,  0.00, 10.03,  1.48,    31,-3.226e-15
Los_Padres_Res,2004,    11,  7.00,  0.00,  7.28,  0.32,    30,-5.8069e-15
Los_Padres_Res,2004,    12,  2.94,  3.51,  6.68,  0.13,    31,0.69698
Los_Padres_Res,2004,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2004,     2,  8.00,  0.00,  8.57,  1.88,    29,-5.2957e-16
Los_Padres_Res,2004,     3, 81.08, 51.56, 95.13, 83.00,    31,0.27943
Los_Padres_Res,2004,     4, 92.72, 38.51, 96.50, 63.69,    30,0.87986
Los_Padres_Res,2004,     5, 71.85, 25.36, 45.06,  8.80,    31,0.14801
Los_Padres_Res,2004,     6, 57.65, 10.88, 55.07, 18.07,    30,0.00041513
Los_Padres_Res,2004,     7, 29.26,  7.18, 38.68,  8.51,    31,0.97934
Los_Padres_Res,2004,     8, 17.91,  5.12, 22.65,  3.79,    31,0.46571
Los_Padres_Res,2004,     9,  9.33,  2.34, 14.67,  1.21,    30,0.84266
Los_Padres_Res,2005,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2005,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2005,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2005,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2005,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2005,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2005,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2005,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2005,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2005,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2005,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2005,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2006,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2006,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2006,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2006,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2006,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2006,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2006,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2006,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2006,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2006,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2006,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2006,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2007,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2007,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2007,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2007,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2007,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2007,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2007,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2007,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2007,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2007,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2007,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2007,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2008,    10,  7.00,  0.00, 10.03,  1.48,    31,-3.226e-15
Los_Padres_Res,2008,    11,  7.00,  0.00,  7.28,  0.32,    30,-5.8069e-15
Los_Padres_Res,2008,    12,  2.94,  3.51,  6.68,  0.13,    31,0.69698
Los_Padres_Res,2008,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2008,     2,  8.00,  0.00,  8.57,  1.88,    29,-5.2957e-16
Los_Padres_Res,2008,     3, 81.08, 51.56, 95.13, 83.00,    31,0.27943
Los_Padres_Res,2008,     4, 92.72, 38.51, 96.50, 63.69,    30,0.87986
Los_Padres_Res,2008,     5, 71.85, 25.36, 45.06,  8.80,    31,0.14801
Los_Padres_Res,2008,     6, 57.65, 10.88, 55.07, 18.07,    30,0.00041513
Los_Padres_Res,2008,     7, 29.26,  7.18, 38.68,  8.51,    31,0.97934
